State,Area Name,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
AR,Searcy County,1145.0,2282.0,1458.0,884.0,19.84746056508927,39.55624891662333,25.27301092043682,15.32327959785058,1732.0,22.3,2692.0,186.0,6.5,33814.0,66.11269698510146
AR,Sebastian County,13214.0,25325.0,26581.0,20559.0,15.4226823375623,29.55800137723363,31.02393818788735,23.99537809731673,21137.0,16.8,52716.0,3369.0,6.0,48627.0,95.07488366636687
AR,Sevier County,2662.0,3474.0,2752.0,1169.0,26.46912598190315,34.54310430545888,27.36402505717411,11.62374465546386,2755.0,16.7,5218.0,325.0,5.9,45838.0,89.62186681265398
AR,Sharp County,2220.0,4873.0,4010.0,1391.0,17.76852889386906,39.00272130622699,32.0954057947815,11.13334400512246,3110.0,18.1,5306.0,411.0,7.2,40437.0,79.06190122394713
AR,Stone County,1394.0,3128.0,3243.0,1304.0,15.37104421656191,34.49112360789503,35.75917962289117,14.37865255265189,2513.0,20.1,4295.0,329.0,7.1,36148.0,70.6761037031244
AR,Union County,3664.0,10177.0,8032.0,4931.0,13.66960155200716,37.96821369944784,29.96567676466199,18.39650798388301,6381.0,16.9,14310.0,1305.0,8.4,47857.0,93.56938959058382
AR,Van Buren County,1754.0,4857.0,3219.0,1910.0,14.94037478705281,41.37137989778535,27.4190800681431,16.26916524701874,2674.0,16.4,5354.0,413.0,7.2,42345.0,82.79239823251086
AR,Washington County,20070.0,40952.0,37453.0,50160.0,13.5028761731759,27.55205705251119,25.19796817707808,33.74709859723484,30994.0,13.2,119532.0,5847.0,4.7,57712.0,112.83775857349548
AR,White County,7126.0,20258.0,12575.0,10174.0,14.21419025392456,40.40851335447709,25.08327847924521,20.29401791235314,11176.0,14.8,31880.0,2140.0,6.3,43765.0,85.56876393070817
AR,Woodruff County,785.0,1929.0,1037.0,720.0,17.55759337955715,43.14471035562514,23.19391634980989,16.10377991500783,1386.0,22.6,2661.0,165.0,5.8,37634.0,73.58151175067455
AR,Yell County,3135.0,5240.0,3577.0,1953.0,22.54584681769148,37.68428622797555,25.72455951096727,14.0453074433657,2971.0,14.3,7526.0,407.0,5.1,48728.0,95.27235756461894
CA,Alameda County,131272.0,198825.0,271096.0,592670.0,10.99556649297281,16.65392092727557,22.70746308412272,49.64304949562889,139636.0,8.6,743193.0,73636.0,9.0,113518.0,136.76702690329031
CA,Alpine County,61.0,249.0,278.0,381.0,6.29514963880289,25.69659442724458,28.68937048503612,39.3188854489164,159.0,14.3,453.0,60.0,11.7,64542.0,77.76050890953121
CA,Amador County,2757.0,9724.0,13052.0,6192.0,8.6903073286052,30.65090622537431,41.14105594956659,19.5177304964539,3678.0,10.3,13084.0,1367.0,9.5,68141.0,82.09660124576811
CA,Butte County,13734.0,31704.0,54420.0,42309.0,9.660469729262065,22.30053387917027,38.27892548903754,29.76007090253012,35963.0,17.3,84291.0,8789.0,9.4,54718.0,65.9245069336514
CA,Calaveras County,3214.0,10815.0,13963.0,6959.0,9.195731166490228,30.94332064890847,39.95021601670911,19.91073216789219,5310.0,11.6,19637.0,1678.0,7.9,66329.0,79.91349501813231
CA,Colusa County,3719.0,4246.0,3934.0,2043.0,26.6747955816956,30.45474107014775,28.21689857983073,14.65356476832592,2200.0,10.3,8853.0,1754.0,16.5,59422.0,71.59190853122251
CA,Contra Costa County,82564.0,140633.0,227162.0,354661.0,10.25614270452908,17.46950386325806,28.21818091475988,44.05617251745299,82136.0,7.2,495891.0,49567.0,9.1,106484.0,128.2924302116842
CA,Del Norte County,3825.0,6101.0,6601.0,3176.0,19.41328731665229,30.96482769121454,33.50251230777039,16.11937268436279,4604.0,18.5,8497.0,917.0,9.7,47442.0,57.158347489789286
CA,El Dorado County,7421.0,28993.0,51667.0,51363.0,5.321849631393247,20.79185909755888,37.05214996701185,36.83414130403603,15992.0,8.4,82984.0,7746.0,8.5,87792.0,105.77221961181192
CA,Fresno County,136835.0,140532.0,201826.0,140183.0,22.09239621812921,22.68928728268451,32.5853762496448,22.63294024954147,168153.0,17.1,392711.0,52282.0,11.7,61401.0,73.97621715401019
CA,Glenn County,4303.0,5538.0,5728.0,2725.0,23.52137312780146,30.27222040013119,31.31081228818192,14.89559418388543,3470.0,12.4,11581.0,1156.0,9.1,57779.0,69.61241430826135
CA,Humboldt County,8451.0,21654.0,34447.0,29263.0,9.008154346319886,23.08159675958003,36.71800884719927,31.19224004690081,20847.0,15.8,54515.0,5138.0,8.6,56071.0,67.55460777580993
CA,Imperial County,32595.0,28187.0,32727.0,16758.0,29.56006783534512,25.56249829958193,29.67977726790427,15.19765659716869,31134.0,18.1,55218.0,16310.0,22.8,47599.0,57.347501837327265
CA,Inyo County,1088.0,4188.0,4721.0,3749.0,7.915029826858723,30.46704495853339,34.34453659246326,27.27338862214462,1940.0,10.9,7637.0,668.0,8.0,55981.0,67.44617534728498
CA,Kern County,132826.0,152266.0,169915.0,97236.0,24.05209300978012,27.57228249158432,30.76815822020379,17.60746627843178,159609.0,18.3,335929.0,49931.0,12.9,58583.0,70.58107733641764
CA,Kings County,24856.0,24622.0,31283.0,13498.0,26.36989571287622,26.12164355658346,33.18834275772075,14.32011797281957,19874.0,14.5,50118.0,6803.0,12.0,60319.0,72.67261840218792
